id_poliza,fecha_emision,id_cliente,id_corredor,id_aseguradora,id_tipo_seguro,prima,comision,monto_asegurado
88,2025-06-03,1671,28,12,6,885.97,132.85,
89,2025-10-23,2963,77,1,5,1372.83,,
90,,753,20,1,10,916.04,219.65,129872.69
92,,2659,25,11,4,,325.08,191582.82
93,2025-06-22,919,4,8,2,,84.51,9964.1
94,2026-04-02,222,41,5,10,,169.15,
96,2025-10-18,1708,3,11,7,1777.93,,
97,2025-08-29,2027,71,15,9,558.7,77.27,
98,,2106,65,10,8,1909.32,153.95,143459.97
100,2025-12-20,2627,52,7,5,,487.51,
101,2025-07-04,976,48,11,11,,125.52,93713.3
102,,5,66,13,12,1386.05,,251864.93
104,2025-10-20,3524,7,11,8,149.44,10.64,
105,2025-12-27,2797,80,3,1,,52.0,
106,2025-06-14,2438,58,12,5,546.09,,44986.21
107,2025-07-27,1165,15,6,12,,50.04,87472.59
108,2026-12-02,1620,74,13,11,1235.45,155.5,
109,2025-11-03,2693,6,13,6,,184.48,
110,2026-12-01,185,46,8,5,,31.43,74435.27
111,2025-02-16,2833,8,15,12,,222.8,185637.48
112,2025-05-05,1463,74,7,2,1025.16,94.24,
113,2025-12-03,1715,34,3,6,,,
114,,1155,61,11,5,1237.26,,124263.17
115,2026-11-02,739,11,5,7,203.12,17.6,
116,2025-09-23,2659,80,8,10,,,376125.57
117,2025-03-01,2501,18,12,10,,,188099.37
119,2025-07-04,1678,71,13,7,,,
120,2025-04-29,419,49,1,3,1427.78,,
121,2025-05-26,1222,59,14,6,,,141963.43
122,2025-08-02,318,41,12,5,726.1,161.45,
123,2025-09-25,721,44,3,2,,437.85,
124,2025-11-07,2155,40,3,9,,83.53,
125,2025-10-12,1886,12,13,12,,127.08,234686.27
126,2025-10-07,1595,18,7,9,,291.84,
127,2025-05-18,1793,11,12,1,843.06,154.42,
128,2025-08-06,711,25,11,3,,379.89,175091.88
129,2025-03-06,1894,29,12,11,1354.93,102.04,
130,2025-06-25,1384,38,15,7,,208.25,155755.8
131,2025-08-01,1953,72,9,2,751.39,,
132,2025-05-23,2110,34,12,11,,,
133,2025-12-20,1793,4,1,11,1705.58,,107532.29
134,2025-09-07,1690,4,11,9,,,42728.3
135,2026-01-24,1540,19,9,4,533.11,,
136,,1873,36,14,4,685.85,,
137,,2544,48,8,12,1837.21,,
138,2025-11-29,984,50,3,10,,95.54,
139,2025-03-09,2715,47,3,1,1887.69,,
140,2025-02-17,1227,48,8,5,,163.56,
141,2025-01-14,2101,71,3,5,,167.05,
142,,821,56,4,5,,272.72,
143,2025-02-09,2342,41,10,10,,,31558.02
144,2025-01-05,354,71,15,10,219.57,53.42,
145,2025-04-20,2461,80,7,12,393.01,55.94,
146,2025-12-23,2899,27,9,2,,,143545.57
147,2025-10-24,1556,53,5,6,,26.25,
149,2025-02-12,892,71,15,10,229.87,16.79,
150,2025-05-20,1080,76,6,7,104.24,,6890.09
151,2025-03-19,927,10,14,7,,139.89,138665.57
152,2025-07-04,2349,79,7,4,0.0,,
153,2026-01-28,1016,28,12,8,,24.61,
154,2025-04-12,1023,24,4,5,,,
155,2025-05-05,1918,43,10,12,,,
156,2025-11-06,462,28,10,2,1793.62,,
157,2025-08-10,2910,63,4,7,,,96305.3
158,2025-08-04,1121,67,7,12,,189.5,
159,2025-09-04,1637,5,2,5,748.78,,
160,2025-12-26,1554,9,2,7,1101.08,81.1,
161,,1392,35,7,6,,155.21,167233.6
162,2025-02-15,1094,4,4,5,1760.71,326.32,
163,2025-01-04,354,12,10,7,,101.17,142724.83
164,2026-01-16,851,50,13,9,501.92,,81059.4
165,2026-02-04,2934,78,10,2,842.46,,
166,2025-05-09,2302,35,4,12,,409.1,
168,2025-06-25,691,65,1,1,,65.44,
169,,1166,41,10,3,,93.67,84578.57
171,2025-05-19,2320,39,9,5,225.23,,
172,2025-09-05,693,69,13,8,1440.24,,199499.58
173,2025-12-31,1935,13,14,2,,,128228.92
174,2026-01-05,9,63,12,10,,70.76,11842.93
175,,2362,59,6,5,,78.61,
176,2025-12-09,2956,62,5,9,,,149134.25
177,2025-03-22,355,72,14,1,,,
179,2025-05-01,2432,3,8,1,,240.54,260639.14
180,2025-09-13,2894,5,10,9,507.43,,
181,2025-01-31,1945,37,11,5,,210.72,
182,,1953,74,6,1,1725.25,,94698.24
183,2025-04-21,513,50,11,5,,174.04,62801.44
184,2025-04-27,1373,12,7,9,,128.95,49518.48
185,2026-01-04,1468,27,7,12,,243.81,
186,2026-01-31,2129,30,8,3,,388.9,298913.7
187,2025-04-01,2226,75,5,3,1327.21,,
188,2025-10-01,1151,47,7,11,,,130925.71
189,2025-02-09,1725,74,11,7,1103.69,,151711.76
190,2025-12-07,2854,70,13,4,953.96,,
191,2025-11-12,837,34,12,3,,173.48,144639.86
192,2025-12-22,1525,3,4,3,234.48,,36663.52
193,2025-07-22,1786,56,15,12,,,
194,2025-07-05,583,72,10,6,1462.11,,
195,2025-10-17,1641,31,15,11,911.44,,
197,2025-04-15,1558,49,4,11,,,
198,2025-10-16,876,77,2,7,1351.69,68.96,
200,2026-02-12,239,79,11,1,1218.97,181.78,
201,2025-06-29,2011,32,12,5,,,
202,2025-09-14,2346,4,11,6,,,
203,2025-08-16,1121,32,14,5,741.78,127.03,
204,2025-11-27,2424,50,5,7,,388.18,80347.81
205,2025-06-04,419,46,7,1,1653.96,249.55,
206,2025-10-28,241,28,8,7,556.14,,54199.33
207,2026-01-22,974,74,14,11,839.87,,69882.74
208,2025-06-10,3614,78,4,4,472.52,36.01,
209,2026-02-07,1974,25,13,9,72.55,,
210,2025-07-17,2680,12,10,5,,,
211,2025-09-30,1795,11,9,7,,,171128.94
212,2025-09-09,2876,13,10,7,213.27,,12711.02
214,2025-12-20,743,54,13,12,306.05,17.31,
215,2025-02-26,483,71,7,1,,104.78,58056.65
216,2025-04-04,1330,46,10,12,,,
218,2025-04-22,3630,1,9,2,,88.01,
219,2025-02-22,1052,5,13,9,,176.78,
220,2025-12-21,1871,34,6,7,,144.19,
221,2025-03-15,2725,80,11,1,,75.06,115464.32
222,2026-01-21,1600,78,2,10,1622.52,,60407.59
223,2025-09-23,1312,75,15,1,312.76,,44896.28
224,2025-01-05,777,40,10,9,298.58,63.17,
225,2025-07-13,645,64,12,8,,180.18,
227,2025-07-05,232,44,13,3,66.1,8.06,
228,2025-11-10,2555,30,5,11,341.36,395.85,
229,2025-12-24,2625,10,5,1,1624.52,,
230,2025-12-19,1245,6,13,3,238.5,,44718.94
231,2025-01-22,2790,73,7,3,,,161771.05
232,2025-05-25,1421,17,7,4,,,
233,,2619,42,4,6,,,
234,2025-04-28,2270,68,3,9,,157.51,
235,,2895,65,8,2,,,193621.53
237,2025-02-11,1137,37,6,3,,268.64,106698.49
238,2025-12-16,1485,30,4,4,,,
239,2025-05-31,1236,77,10,8,760.38,,111154.53
240,,536,15,6,10,,180.09,
241,2025-03-02,657,22,3,4,,199.83,
242,2025-08-06,1884,61,12,8,548.88,77.84,
243,2025-10-09,634,16,14,3,,283.81,
244,2026-01-26,1804,18,7,5,,133.24,81691.01
245,2025-07-25,2704,51,1,5,,274.71,41044.61
246,2025-09-24,2695,40,14,7,735.39,,
247,2026-01-07,924,49,5,11,,131.17,274013.46
248,2025-11-15,1011,64,10,4,1846.72,,320537.24
249,2025-07-09,1500,73,4,6,,,
250,2025-04-02,1771,63,14,3,424.38,72.81,
251,2025-06-21,1262,68,1,5,601.96,120.32,
252,,1575,33,14,8,1422.87,76.42,
254,2025-06-06,917,23,1,6,,132.79,
255,2025-03-22,2003,60,1,2,275.48,,
256,2025-07-28,2083,71,12,9,,326.26,
257,2025-04-19,2855,25,14,7,,,
258,2025-09-23,1821,50,7,10,555.6,,
259,2025-11-28,148,17,5,1,,,
260,2025-01-14,971,57,13,6,,132.98,
261,2025-06-04,2956,78,2,4,843.81,106.28,
262,2025-02-14,1441,1,12,7,,,
265,2025-12-08,184,62,13,9,264.84,,
266,2025-01-12,1750,12,5,5,,53.62,82199.39
267,2025-01-17,761,60,1,12,836.8,,
268,,1635,13,14,4,1161.47,87.66,
270,2025-05-17,168,64,1,8,,,153797.15
271,2025-04-20,1773,43,11,5,1395.69,,
272,,2717,50,13,5,,126.8,
273,2025-12-04,2346,41,12,10,470.44,42.33,
274,2026-04-02,222,16,12,6,359.96,,
275,2025-03-07,1637,46,5,1,1958.02,109.4,
276,2025-01-14,482,19,14,11,1238.05,,149205.72
277,2025-06-04,2165,16,13,12,,11.06,22028.53
278,2025-11-04,1832,27,10,9,,150.96,
279,2025-12-14,770,66,14,3,901.35,,39362.62
281,2025-12-12,1387,2,14,12,,,108632.52
282,2025-12-31,1190,6,4,6,,,
283,,254,65,13,12,,,
284,2025-09-07,1163,16,3,4,1052.91,,
285,2025-07-06,2457,37,9,5,,229.02,119625.01
286,2025-03-02,631,43,6,10,480.94,110.77,
287,2025-09-09,605,62,7,6,434.82,,
288,2025-07-06,1378,72,4,5,738.72,128.9,
289,2026-02-11,2696,62,12,7,,52.21,
290,2025-04-13,326,61,2,6,,339.8,
291,2025-05-05,281,54,1,9,,,132725.63
292,,1514,27,3,1,365.44,39.1,9478.09
293,2025-10-28,175,24,15,1,,,
294,2025-08-19,2129,13,13,7,,212.49,
295,2025-05-31,764,52,7,5,987.43,,164812.9
296,2025-03-05,1812,77,13,11,,47.2,
298,2026-02-10,2390,2,14,9,,396.87,
299,2025-05-05,2724,18,5,7,1142.36,88.5,
300,2025-09-09,1233,67,6,8,1027.81,,69674.38
301,2025-09-15,1579,72,11,1,,18.74,4988.88
302,2025-04-25,679,60,1,6,,86.07,
303,2025-08-22,2931,13,14,6,317.71,,11090.61
304,2025-01-05,917,41,15,9,673.03,106.8,
306,2025-07-06,619,17,10,2,,,
307,2025-08-31,78,24,6,10,1259.85,87.1,
308,2025-05-03,905,6,7,2,71.14,14.24,
309,2025-08-17,980,20,1,5,529.37,91.01,
310,2025-07-25,355,53,6,6,,139.7,48271.62
311,2026-01-18,236,19,8,12,662.47,34.15,
312,2025-06-13,1894,10,13,2,,129.58,
313,2026-01-25,2852,30,1,11,1736.83,,
314,2025-03-16,444,68,4,1,,28.88,48398.37
315,2025-05-06,282,9,6,12,644.32,97.22,
316,2026-01-27,3776,1,6,8,,177.07,106644.92
317,2025-01-17,2621,19,2,8,70.91,17.25,
318,,380,58,11,9,779.52,,79294.65
319,2026-01-26,2874,9,1,11,726.96,,122532.96
320,,2637,64,1,9,,261.15,
321,2025-10-20,830,48,8,1,1344.7,,
322,2025-08-19,454,75,11,3,850.81,,166822.37
323,2025-01-14,2484,29,7,1,,76.06,83832.92
324,2025-12-08,689,68,1,6,,391.8,260739.67
325,2025-09-17,531,13,2,10,,126.53,
326,2025-02-27,2429,22,3,1,,,
328,2026-01-08,2035,34,9,8,,201.21,
329,2025-07-10,1584,78,10,10,965.87,,
330,2025-07-15,2011,15,10,2,1158.76,,143147.74
331,2025-06-14,2628,51,9,3,,,
332,2026-02-02,2249,63,5,8,,,
333,2025-12-03,2372,29,2,8,,198.89,
334,2025-06-16,1976,64,12,8,,255.61,
335,2025-09-02,282,43,8,6,,,20333.48
336,2025-11-26,1444,54,3,10,,,20954.52
337,2025-07-24,3574,35,4,10,1304.27,,
338,2025-06-28,1141,75,3,2,1845.6,92.8,
339,2026-01-26,2571,76,4,6,924.18,222.4,
340,2025-08-23,1514,51,1,11,,,21695.02
341,2025-03-25,14,23,2,4,716.28,71.72,
342,2025-04-28,1132,50,7,1,,,343602.22
343,,1809,74,13,6,261.29,,11502.8
344,2025-09-07,1385,52,2,7,,243.44,
345,2025-08-11,1606,47,12,1,323.93,38.26,
346,2025-12-08,1529,61,9,3,,220.03,
347,2025-08-11,1108,65,2,5,,,
348,2025-07-31,1317,20,1,2,,356.84,
349,2025-09-20,2133,51,7,6,,,182975.67
350,2025-09-06,1119,74,2,6,423.21,33.82,
353,2025-01-16,1274,18,10,12,435.91,,81976.35
354,2025-10-04,2871,64,8,3,,27.44,15872.78
355,2025-12-19,2758,77,12,8,1934.73,,
356,2025-10-31,729,63,14,7,,,
357,2025-07-15,2655,25,11,11,374.5,,44517.01
358,2026-01-31,2665,30,2,9,,154.02,
359,2025-12-29,3785,8,6,1,,,
360,2025-04-12,3666,59,7,9,,,
361,2025-05-23,702,21,15,6,1186.26,,
362,2025-04-12,2822,46,2,12,,332.01,
363,2026-11-01,2480,2,14,6,,148.66,
364,2025-12-14,707,28,11,9,,,26697.38
365,2026-01-15,2794,41,15,3,1910.72,141.4,
366,,844,31,2,1,,300.46,97957.19
367,2025-01-05,2182,13,9,1,,70.05,
368,2025-01-13,2229,12,8,1,312.7,,
369,2025-10-21,1959,2,4,11,300.3,16.25,
371,2026-01-25,602,17,11,4,,,
372,2026-01-02,2269,59,8,7,,,
373,,1870,21,1,5,1038.02,98.58,
374,2025-05-24,465,69,9,11,,26.59,
375,2025-09-19,1358,80,4,10,,63.4,
376,,3527,73,6,5,110.64,,
377,2025-08-23,2290,36,3,1,1389.23,,
378,,1868,60,12,9,1755.33,276.66,288662.01
379,2025-08-22,573,2,15,5,,18.56,
380,2025-08-01,1145,13,15,1,,,
381,2025-09-12,243,34,10,9,858.13,57.01,
382,2025-12-04,1204,29,13,1,,73.38,
383,2025-11-24,234,34,13,4,,,108825.24
384,2025-01-12,1158,68,2,2,,346.31,
385,2025-02-19,2090,16,3,8,,50.66,127959.71
386,2025-06-01,117,43,4,7,,21.8,43701.61
387,2025-07-14,48,63,2,4,,267.57,84325.7
388,2025-12-01,1001,47,14,4,,,
389,2026-12-01,581,53,13,12,216.28,,
390,2025-01-31,2187,14,5,10,,,
391,2025-12-09,2575,43,15,11,,59.01,
392,2025-07-04,1062,38,15,3,,79.4,
393,2025-07-08,1157,7,1,7,,,
394,2025-09-12,1895,76,4,9,735.69,132.66,
396,2025-10-16,588,51,3,6,1353.44,309.33,
397,2025-07-05,2761,77,9,9,,,
398,2025-06-22,1255,78,12,12,1796.91,,
400,2025-08-25,1674,35,12,1,,,42133.22
401,2025-01-09,1435,1,3,12,,,
402,2025-08-15,1721,63,8,5,405.99,71.04,
403,2025-11-08,1714,75,3,2,,,45428.93
404,2026-02-09,1407,28,14,8,,42.22,19368.57
405,2025-07-12,2328,47,1,8,,275.94,
406,2025-09-22,1393,7,15,3,1384.51,194.9,
407,2025-08-30,618,23,1,9,,,
408,2025-10-19,1694,5,3,4,,97.55,
410,,1818,66,11,9,,,
411,,177,38,10,8,393.15,,
412,2026-01-28,2826,18,1,5,,373.29,219135.53
413,2025-07-17,1069,25,15,5,1229.31,,151597.25
416,,297,21,5,10,,101.67,45376.39
417,2025-10-07,60,35,8,1,620.81,90.95,
418,,206,29,11,12,360.12,86.63,
420,,2211,1,15,6,,390.08,
422,2025-08-07,181,4,8,5,1880.35,131.37,
423,2025-05-26,807,50,9,8,,41.24,35549.86
424,2026-02-14,1234,1,12,6,,68.36,60347.81
425,2025-09-17,1481,30,11,2,538.85,105.16,
426,2026-01-01,897,74,14,10,,259.69,287389.71
428,2025-01-06,1293,54,9,10,1683.76,,304002.46
429,2026-01-04,1774,50,7,5,987.28,,
430,2025-06-14,758,10,8,6,,,
431,2025-03-27,21,56,2,11,1414.67,,38629.85
432,2025-02-01,1557,62,3,5,,207.9,
433,2025-05-04,82,11,2,2,,,
434,2025-03-20,2333,51,2,6,,17.35,
435,2025-12-31,365,31,6,6,,,
436,2025-04-02,1901,69,15,3,687.69,,125649.5
437,2025-11-05,1256,61,7,12,1900.51,,
438,2025-08-11,1972,73,12,10,-1778.57,,
439,2025-01-05,770,70,11,8,359.75,83.83,
440,2026-01-06,1109,54,12,3,,,
441,2026-01-10,539,50,3,6,,81.86,
442,2025-03-23,3881,19,15,5,,,
443,2025-10-17,2491,60,1,3,566.75,28.78,
444,2025-12-26,2825,31,15,3,1525.16,,203346.47
445,2025-04-26,1383,42,5,9,,,
446,2025-07-11,1091,23,8,12,,11.62,
447,2025-08-30,2535,70,10,11,,267.96,
448,,459,77,2,3,,235.49,125583.09
449,2025-04-08,2759,98,3,1,1674.8,,
450,2025-07-20,1094,38,5,4,1656.24,330.83,
451,2025-03-26,1809,51,12,9,516.0,42.02,
452,2025-07-04,2214,48,4,1,77.82,13.04,
453,2025-05-26,1649,48,9,7,285.16,23.71,
454,2025-07-13,1449,53,14,9,,129.93,
455,2025-02-25,2987,64,7,10,,166.31,
456,2025-03-20,747,73,14,7,,,200312.11
457,2025-10-28,2597,48,14,12,436.02,77.71,
458,2025-01-24,2233,10,4,8,,59.29,
459,2025-07-09,135,12,12,11,,320.2,
460,2025-07-10,1917,69,15,4,,,207368.93
461,2025-08-09,1607,49,10,5,,,260544.91
462,2025-09-29,1340,43,10,3,,123.95,
463,2025-07-09,1004,39,12,7,,,238392.21
464,2025-02-08,1630,14,1,6,,59.17,
465,2025-09-25,1929,79,3,5,,332.26,
466,2025-11-15,2898,42,7,2,,54.71,14166.74
467,2025-10-24,781,35,8,7,,251.38,
468,2025-03-23,114,10,7,4,-236.81,48.04,
469,2025-12-14,273,38,13,1,1207.61,103.23,
470,2025-11-06,3857,93,2,11,1557.9,229.31,
471,2025-04-19,714,38,14,5,1082.72,,64280.36
472,2025-11-13,473,15,8,11,0.0,31.72,
473,2025-12-03,2945,67,1,9,1869.53,,
474,2025-04-20,729,34,12,2,,86.74,
475,2025-02-27,405,56,8,10,725.33,78.35,
476,2025-02-27,1774,60,13,12,-1097.18,216.55,
477,2026-02-04,65,22,3,1,,137.09,133624.56
478,2025-08-11,2138,36,13,2,168.26,215.65,
479,2026-02-05,2034,65,5,7,931.56,,
480,2025-06-14,1343,1,2,8,1810.4,,
481,2025-01-06,1479,14,2,3,,15.36,
482,2025-05-06,170,52,6,2,,,26558.18
483,2025-10-18,1785,66,9,7,1906.65,,
485,2025-08-26,1799,54,15,2,1189.72,,
486,2025-08-02,1980,60,13,1,-301.43,24.27,
488,2025-03-29,2538,78,15,4,469.17,,68548.42
489,2025-12-07,1736,26,12,10,1609.82,,
490,,983,78,2,9,,197.15,
491,2025-02-01,1600,21,1,2,,,
492,2025-08-01,868,52,3,9,,98.08,
493,2025-05-29,604,11,2,2,,,
494,2025-11-17,1230,49,4,9,,32.56,
495,2025-04-02,2403,77,15,9,,,
496,2025-02-01,251,60,6,2,559.13,,76692.82
497,2025-10-13,703,34,6,12,,28.27,
499,2025-06-08,2487,14,15,3,,336.33,182343.65
500,2025-06-29,2382,2,2,2,1805.76,205.29,
501,2025-10-05,1703,66,4,11,310.65,73.03,
502,2026-01-26,1560,80,10,11,,,269343.52
503,2025-01-08,2629,61,4,8,,,44153.87
504,2025-06-15,2703,61,12,7,,,
505,2025-07-19,1817,56,1,8,658.17,,
506,2025-06-24,1777,4,14,3,,,145253.08
507,2025-07-21,71,63,6,2,1604.54,,
508,2025-05-23,1415,75,5,1,1028.33,253.52,
509,2025-01-20,1832,54,15,11,,,145000.82
510,2025-03-29,699,43,14,12,,121.5,
511,2025-03-31,2545,36,10,11,,380.95,121142.67
512,2025-04-25,2723,67,6,5,,,15008.2
513,2025-06-13,907,70,6,2,,129.1,270769.71
518,2025-09-13,1875,60,8,4,,,
521,,2939,14,6,11,1998.2,,
522,2026-12-01,1045,18,8,12,,402.61,179266.06
523,2025-03-22,938,47,9,10,,,
524,2025-02-12,1574,43,10,10,,34.65,
525,2025-10-27,25,4,5,2,,162.8,343418.5
526,2026-02-08,284,65,10,8,,260.86,126568.35
527,,2629,44,15,1,1498.66,346.97,
528,2025-05-19,2872,55,1,11,533.97,,
529,2025-04-09,1326,23,8,6,,52.59,
530,2025-12-15,214,55,15,7,1066.08,161.64,
531,2025-06-04,177,73,4,7,1871.73,183.05,
532,2025-10-28,1369,54,4,3,306.81,,
533,2025-10-13,2867,50,10,8,,175.16,
535,2025-10-03,1978,37,7,10,,373.45,73333.3
536,2025-09-26,1487,45,4,7,0.0,,3007.05
537,2025-11-14,2996,38,3,10,1065.63,,
538,2025-07-06,2146,23,12,8,643.98,121.68,
539,2025-12-20,620,2,4,9,56.45,,
541,2025-04-28,1607,79,5,8,391.61,,
542,2025-12-08,2720,77,5,1,,247.88,99356.05
543,2025-12-19,1352,54,8,2,1184.99,140.37,
544,,1631,43,3,5,,,
545,2025-03-01,2921,10,6,2,589.25,,
546,2025-09-18,683,18,12,7,,,
547,2025-08-04,2749,33,12,6,,,186378.98
548,2026-02-02,140,75,14,2,,238.1,211004.23
549,2025-03-01,2373,37,2,3,1292.38,72.55,
551,2025-04-23,1815,21,1,4,,124.2,
552,2025-07-27,2701,42,8,5,1686.04,369.75,
553,2026-01-07,2446,1,10,12,,207.12,
554,2025-01-30,659,43,4,2,316.37,,
555,2025-06-06,58,12,13,5,802.91,173.75,
556,2025-09-23,2075,41,5,7,910.0,,
557,2025-02-23,863,14,10,9,,110.59,
558,2025-11-19,278,14,2,10,,,
559,2025-11-15,2560,76,1,12,1382.32,279.32,
560,2026-01-08,2145,74,6,2,0.0,,
562,2026-01-21,1565,32,9,3,1761.04,254.27,
564,2025-03-21,2174,57,6,8,576.14,,76260.33
565,2025-01-11,2636,22,5,10,970.69,,
566,2025-02-18,2845,40,6,4,932.58,,
567,2026-04-01,1718,78,10,1,,,122545.12
568,2025-06-13,1884,55,5,12,,,
569,2025-02-04,2388,29,5,7,681.04,42.3,
570,2025-04-16,2214,74,3,4,636.27,,
571,2025-07-26,788,69,9,1,,149.93,
572,,2819,66,15,11,786.78,186.55,
573,2025-12-17,2280,45,11,5,,194.57,
574,2025-02-16,2920,23,15,12,,73.71,
575,2025-05-21,1400,48,5,2,,,130970.86
576,2025-04-26,3728,26,15,3,,140.98,56238.72
577,2025-08-07,2064,75,12,7,,90.78,
578,2025-11-17,862,39,8,7,148.55,,
579,2025-07-22,1913,28,7,4,,18.29,
580,2025-12-25,1660,40,10,1,,223.72,169828.64
581,2025-04-28,390,8,12,12,,31.9,
582,2026-01-20,11,69,11,6,,,162305.06
583,2025-01-19,3553,54,12,1,,,
586,2026-01-23,703,79,9,6,,,
587,2025-04-24,2692,26,13,2,,,
588,2025-03-22,24,24,9,11,1805.91,,291663.33
589,2025-03-22,1709,78,7,3,701.62,41.46,
590,,222,32,14,12,,,
592,2025-09-25,1683,33,14,2,,,39225.86
593,2025-06-21,2395,4,14,6,,21.01,
594,2025-12-21,294,61,2,8,,,40996.09
595,2026-01-22,853,62,5,5,,159.5,
596,2025-01-04,2287,14,9,1,,65.37,
597,2025-04-21,2380,32,13,6,278.09,,
598,2025-04-22,2730,13,7,4,,128.47,
599,2025-04-28,2512,29,1,4,,387.89,
600,2025-11-04,2290,60,15,4,,137.39,
601,2025-11-12,2680,58,14,8,,,23368.45
602,2025-04-30,2497,50,2,1,1343.48,274.96,
603,,1202,15,12,11,1018.98,,
604,2025-12-05,1860,9,11,12,877.47,205.89,
605,2025-10-03,1360,57,9,12,868.18,,
606,2025-09-09,2303,80,11,9,,242.2,
607,2025-12-13,2295,43,15,6,,82.25,13281.29
608,2025-09-10,505,113,13,10,1677.49,,247928.91
609,2025-01-24,611,31,13,2,149.29,,
611,2025-07-28,2585,42,5,8,1478.89,182.27,
612,2025-04-07,2405,19,6,11,1442.2,,
613,2025-12-25,83,33,1,3,,176.49,22423.95
614,2026-02-02,3,57,2,3,,292.06,260328.94
615,,2333,78,15,1,,128.13,164935.64
616,2025-03-15,1425,40,4,2,822.72,203.05,
617,2025-07-16,1915,66,3,11,137.37,12.48,
618,2025-12-05,121,80,14,8,,,23521.26
620,2025-09-10,2727,2,6,9,,,
621,2025-02-07,1361,48,3,7,,19.56,
622,2025-09-30,2019,35,5,2,,,
623,2025-07-24,1010,41,7,1,,21.24,
624,2025-09-01,2134,33,10,6,474.87,,24255.64
625,2025-12-19,654,15,4,5,862.91,58.54,
626,2025-07-03,2766,34,15,8,126.3,,
627,2025-01-23,2276,77,15,11,539.59,75.27,
628,2025-09-07,2464,32,1,12,77.7,,
629,2025-09-01,789,28,5,12,,,43854.63
630,2026-02-19,2423,76,1,11,409.54,29.13,
631,2025-08-09,1836,55,13,5,331.16,,
632,2025-10-14,1080,75,15,12,1462.54,,252291.54
633,,1450,64,12,2,,196.08,
